candidate,baseline,seed,test_accuracy_delta_pp,test_macro_f1_delta_pp
LoRA r=2,Frozen,7,1.8552036199095012,6.271345474734807
LoRA r=2,Frozen,13,5.610859728506784,12.736985809624235
LoRA r=2,Frozen,42,5.656108597285065,12.486820845972952
LoRA r=2,Frozen,123,3.755656108597283,4.6531204476880745
LoRA r=2,Frozen,2026,3.438914027149326,0.41831706508665967
LoRA r=2,Full,7,-0.4977375565610842,-2.210725687721621
LoRA r=2,Full,13,-1.6289592760181049,-2.7510749089908417
LoRA r=2,Full,42,1.6742081447963741,6.84627653043699
LoRA r=2,Full,123,0.18099547511312153,-0.7202699822334124
LoRA r=2,Full,2026,2.7601809954751144,4.207282567611703
LoRA r=4,Frozen,7,3.800904977375569,4.197698727350846
LoRA r=4,Frozen,13,7.42081447963801,15.668534920798717
LoRA r=4,Frozen,42,4.9321266968325785,12.005706033124557
LoRA r=4,Frozen,123,4.253393665158378,5.460280518415706
LoRA r=4,Frozen,2026,2.5339366515837183,4.0876993470624345
LoRA r=4,Full,7,1.4479638009049833,-4.284372435105582
LoRA r=4,Full,13,0.18099547511312153,0.1804742021836392
LoRA r=4,Full,42,0.950226244343888,6.365161717588597
LoRA r=4,Full,123,0.6787330316742168,0.08689008849421809
LoRA r=4,Full,2026,1.8552036199095068,7.876664849587478
LoRA r=8,Frozen,7,3.93665158371041,4.512877247552327
LoRA r=8,Frozen,13,5.022624434389139,15.352648165176635
LoRA r=8,Frozen,42,5.701357466063345,12.507266857980904
LoRA r=8,Frozen,123,3.303167420814479,4.8790786977635054
LoRA r=8,Frozen,2026,2.488687782805438,6.163529041406934
LoRA r=8,Full,7,1.5837104072398245,-3.969193914904101
LoRA r=8,Full,13,-2.21719457013575,-0.13541255343844094
LoRA r=8,Full,42,1.7194570135746545,6.866722542444942
LoRA r=8,Full,123,-0.2714932126696823,-0.4943117321579815
LoRA r=8,Full,2026,1.8099547511312264,9.952494543931978
LoRA r=16,Frozen,7,4.298642533936653,5.840187606179159
LoRA r=16,Frozen,13,6.334841628959281,14.313794378550309
LoRA r=16,Frozen,42,7.149321266968328,14.559092553507158
LoRA r=16,Frozen,123,3.665158371040722,5.001704129405687
LoRA r=16,Frozen,2026,2.4434389140271575,6.21199151291163
LoRA r=16,Full,7,1.9457013574660675,-2.641883556277269
LoRA r=16,Full,13,-0.9049773755656076,-1.1742663400647668
LoRA r=16,Full,42,3.167420814479638,8.918548237971196
LoRA r=16,Full,123,0.09049773755656076,-0.3716863005158
LoRA r=16,Full,2026,1.764705882352946,10.000957015436674
Full,Frozen,7,2.352941176470585,8.482071162456428
Full,Frozen,13,7.239819004524889,15.488060718615076
Full,Frozen,42,3.9819004524886905,5.640544315535961
Full,Frozen,123,3.5746606334841613,5.373390429921487
Full,Frozen,2026,0.6787330316742113,-3.7889655025250435
