configuration,mode,rank,seed,best_epoch_by_validation_accuracy,validation_accuracy,validation_macro_f1,test_accuracy,test_macro_f1,final_train_accuracy,final_validation_accuracy,final_generalization_gap,train_seconds,wall_seconds,peak_cuda_memory_mb,best_checkpoint_mb,trainable_parameters,total_parameters,trainable_fraction,physical_gpu
Frozen,frozen,,123,4,0.4641235240690282,0.4329633132266458,0.4760180995475113,0.43990885414957503,0.46477059925093633,0.42779291553133514,0.036977683719601195,119.34765247418545,261.3163458239287,574.30908203125,0.033104896545410156,3845,124443653,3.0897517931268056e-05,1
Frozen,frozen,,13,3,0.4405086285195277,0.3408243931436613,0.4583710407239819,0.3370447795347761,0.46863295880149813,0.39509536784741145,0.07353759095408668,118.08753567142412,142.22147461702116,574.30908203125,0.032738685607910156,3845,124443653,3.0897517931268056e-05,0
Frozen,frozen,,2026,3,0.47229791099000906,0.4267296361759013,0.4918552036199095,0.4416606022744586,0.47425093632958804,0.444141689373297,0.030109246956291025,124.68526795390062,148.2423471598886,574.30908203125,0.032677650451660156,3845,124443653,3.0897517931268056e-05,0
Frozen,frozen,,42,5,0.4732061762034514,0.3912662526699551,0.45429864253393665,0.3720514150318297,0.4713249063670412,0.4732061762034514,-0.001881269836410182,118.78033460606821,142.60178199992515,574.30908203125,0.033532142639160156,3845,124443653,3.0897517931268056e-05,2
Frozen,frozen,,7,5,0.47229791099000906,0.4204727775304001,0.48823529411764705,0.4245670907715815,0.4734316479400749,0.47229791099000906,0.0011337369500658556,116.09571031294763,139.37739881803282,574.30908203125,0.033471107482910156,3845,124443653,3.0897517931268056e-05,1
Full,full,,123,2,0.485921889191644,0.4695859235310721,0.5117647058823529,0.4936427584487899,0.9747191011235955,0.4641235240690282,0.5105955770545674,441.358834822895,528.6766939570662,2464.7158203125,474.7911195755005,124443653,124443653,1.0,1
Full,full,,13,2,0.5113533151680291,0.46946986670588603,0.5307692307692308,0.49192538672092684,0.9698033707865169,0.4841053587647593,0.4856980120217576,456.16555935912766,508.38709456985816,2459.9580078125,474.7911195755005,124443653,124443653,1.0,3
Full,full,,2026,1,0.5013623978201635,0.407299632604816,0.4986425339366516,0.40377094724920815,0.9591526217228464,0.44595821980018163,0.5131944019226649,447.49131945404224,495.57678146706894,2460.43359375,474.79057025909424,124443653,124443653,1.0,3
Full,full,,42,1,0.49227974568574023,0.4255818729265616,0.49411764705882355,0.4284568581871893,0.9815074906367042,0.4677565849227975,0.5137509057139067,462.03950145095587,511.594764797017,2460.619140625,474.79057025909424,124443653,124443653,1.0,3
Full,full,,7,2,0.49954586739327883,0.5008961338764728,0.5117647058823529,0.5093878023961458,0.9554073033707865,0.4695731153496821,0.4858341880211044,453.81225308426656,722.4172070869245,2459.88671875,474.79105854034424,124443653,124443653,1.0,3
LoRA r=16,lora,16,123,3,0.5140781108083561,0.48885683342326364,0.5126696832579185,0.4899258954436319,0.6704119850187266,0.4868301544050863,0.18358183061364025,346.33772325050086,375.74910333100706,1197.1982421875,2.2971229553222656,593669,125033477,0.00474808038810278,3
LoRA r=16,lora,16,13,2,0.5077202543142597,0.47086964054730823,0.5217194570135747,0.48018272332027917,0.6553136704119851,0.4713896457765668,0.1839240246354183,370.08377000596374,401.00666097085923,1195.08984375,2.2966346740722656,593669,125033477,0.00474808038810278,0
LoRA r=16,lora,16,2026,3,0.49954586739327883,0.491686649667353,0.516289592760181,0.5037805174035749,0.6616338951310862,0.4940962761126249,0.16753761901846126,383.2098086529877,412.13174499198794,1195.0947265625,2.2970619201660156,593669,125033477,0.00474808038810278,2
LoRA r=16,lora,16,42,3,0.49318801089918257,0.48599753376373067,0.5257918552036199,0.5176423405669013,0.6687734082397003,0.48319709355131696,0.18557631468838337,381.7468078387901,413.3305921778083,1195.08984375,2.2971229553222656,593669,125033477,0.00474808038810278,1
LoRA r=16,lora,16,7,4,0.49227974568574023,0.4484550244610916,0.5312217194570136,0.4829689668333731,0.6412687265917603,0.47593097184377836,0.1653377547479819,342.3345477031544,487.11049046204425,1195.08984375,2.2975502014160156,593669,125033477,0.00474808038810278,1
LoRA r=2,lora,2,123,3,0.5204359673024523,0.4969057158291978,0.5135746606334841,0.4864400586264558,0.5832162921348315,0.5004541326067211,0.08276215952811039,329.4009145430755,476.04306480893865,1189.9619140625,0.3283729553222656,77573,124517381,0.000622989331907005,1
LoRA r=2,lora,2,13,4,0.5059037238873751,0.4643296275213856,0.5144796380090497,0.4644146376310184,0.5738529962546817,0.5004541326067211,0.07339886364796055,390.4218990087975,421.8941882629879,1187.853515625,0.3288612365722656,77573,124517381,0.000622989331907005,1
LoRA r=2,lora,2,2026,5,0.5113533151680291,0.4388062909528263,0.5262443438914027,0.4458437729253252,0.5709269662921348,0.5113533151680291,0.05957365112410573,395.7389485412277,425.89348523691297,1187.8583984375,0.3293495178222656,77573,124517381,0.000622989331907005,2
LoRA r=2,lora,2,42,3,0.49954586739327883,0.48898048139429867,0.5108597285067873,0.4969196234915592,0.5800561797752809,0.4950045413260672,0.0850516384492137,389.5700351810083,419.6756736931857,1187.853515625,0.3283729553222656,77573,124517381,0.000622989331907005,1
LoRA r=2,lora,2,7,5,0.49227974568574023,0.4769399155739432,0.5067873303167421,0.4872805455189296,0.5774812734082397,0.49227974568574023,0.0852015277224995,370.4107210175134,398.8719654760789,1187.853515625,0.3293495178222656,77573,124517381,0.000622989331907005,3
LoRA r=4,lora,4,123,3,0.508628519527702,0.48366470007195356,0.5185520361990951,0.4945116593337321,0.6090823970037453,0.49227974568574023,0.1168026513180051,359.91736870002933,420.2571413409896,1190.9990234375,0.6096229553222656,151301,124591109,0.001214380393708511,3
LoRA r=4,lora,4,13,2,0.5031789282470481,0.4659350241542011,0.532579185520362,0.49373012874276323,0.5962078651685393,0.4913714804722979,0.1048363846962414,384.7666580178775,415.3236286349129,1188.890625,0.6091346740722656,151301,124591109,0.001214380393708511,2
LoRA r=4,lora,4,2026,4,0.5113533151680291,0.4832083353933269,0.5171945701357467,0.4825375957450829,0.5972612359550562,0.5013623978201635,0.09589883813489275,382.9117720182985,412.8895276361145,1188.8955078125,0.6101112365722656,151301,124591109,0.001214380393708511,0
LoRA r=4,lora,4,42,3,0.49954586739327883,0.48809956814188976,0.5036199095022624,0.4921084753630753,0.6007724719101124,0.485921889191644,0.11485058271846843,369.8387168860063,400.09462025389075,1188.890625,0.6096229553222656,151301,124591109,0.001214380393708511,0
LoRA r=4,lora,4,7,4,0.4940962761126249,0.4372440736666746,0.5262443438914027,0.46654407804508996,0.596441947565543,0.48864668483197093,0.1077952627335721,329.8197215083055,576.9873410530854,1188.890625,0.6100502014160156,151301,124591109,0.001214380393708511,1
LoRA r=8,lora,8,123,3,0.5095367847411444,0.48435140825163553,0.5090497737556561,0.4886996411272101,0.6501638576779026,0.4950045413260672,0.15515931635183544,337.04013410420157,366.6869052979164,1193.0615234375,1.1721229553222656,298757,124738565,0.002395065231029393,1
LoRA r=8,lora,8,13,3,0.5040871934604905,0.4799171149620438,0.5085972850678733,0.49057126118654243,0.6241807116104869,0.49318801089918257,0.13099270071130437,374.6283703299705,405.72002313216217,1190.953125,1.1721229553222656,298757,124738565,0.002395065231029393,3
LoRA r=8,lora,8,2026,3,0.4986376021798365,0.48896518264521716,0.5167420814479639,0.5032958926885279,0.6192649812734082,0.4940962761126249,0.12516870516078332,372.01146860793233,402.49113965104334,1190.9580078125,1.1720619201660156,298757,124738565,0.002395065231029393,1
LoRA r=8,lora,8,42,3,0.4986376021798365,0.488254426115475,0.5113122171945701,0.49712408361163873,0.6309691011235955,0.48047229791099,0.1504968032126055,370.2320869618561,401.6620339551009,1190.953125,1.1721229553222656,298757,124738565,0.002395065231029393,2
LoRA r=8,lora,8,7,4,0.4913714804722979,0.44156438934842723,0.5276018099547511,0.4696958632471048,0.6200842696629213,0.4841053587647593,0.135978910898162,330.61442265985534,450.0767354608979,1190.953125,1.1725502014160156,298757,124738565,0.002395065231029393,3
